,parameters,train_MSE,test_MSE
0,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 2}",0.0028534226585179567,0.0053824493661522865
1,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 4}",0.0031370155047625303,0.005287122447043657
2,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 8}",0.002556832041591406,0.00558437081053853
3,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 16}",0.0024247830733656883,0.005273733288049698
4,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 32}",0.0026995150838047266,0.005142448004335165
5,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 2}",0.002495305612683296,0.005551557522267103
6,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 4}",0.0023958380334079266,0.005415181629359722
7,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 8}",0.001993248937651515,0.005409926176071167
8,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 16}",0.0023284980561584234,0.005347665399312973
9,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 32}",0.0023828090634196997,0.005343606695532799
10,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 2}",0.0021625300869345665,0.005341915879398584
11,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 4}",0.0024703231174498796,0.005322237033396959
12,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 8}",0.002283151028677821,0.0055803884752094746
13,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 16}",0.0023726443760097027,0.0056056492030620575
14,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 32}",0.0021817462984472513,0.005303334444761276
15,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 256, 'units layer 2': 2}",0.002254227176308632,0.00601462135091424
16,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 256, 'units layer 2': 4}",0.003013551002368331,0.00615046638995409
17,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 256, 'units layer 2': 8}",0.0025613754987716675,0.005446511320769787
18,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 256, 'units layer 2': 16}",0.0029249554499983788,0.006245129741728306
19,"{'desc_words': 5000, 'desc_len': 135, 'activation': 'sigmoid', 'units layer 1': 256, 'units layer 2': 32}",0.0024886876344680786,0.005400925409048796
20,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 2}",0.0025659347884356976,0.005204460583627224
21,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 4}",0.0025502676144242287,0.005296369548887014
22,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 8}",0.0024211041163653135,0.005449638236314058
23,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 16}",0.0027786886785179377,0.0052543687634170055
24,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 32, 'units layer 2': 32}",0.0022980680223554373,0.0053295535035431385
25,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 2}",0.002200813265517354,0.005435438361018896
26,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 4}",0.002381469588726759,0.005253269337117672
27,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 8}",0.0024360325187444687,0.005405280739068985
28,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 16}",0.002482323907315731,0.005251738708466291
29,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 64, 'units layer 2': 32}",0.0031652101315557957,0.006036639679223299
30,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 2}",0.0020796824246644974,0.005359046161174774
31,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 4}",0.003593329107388854,0.00646907277405262
32,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 8}",0.0023207436315715313,0.005575439892709255
33,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 16}",0.002448023296892643,0.0053186966106295586
34,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 128, 'units layer 2': 32}",0.0019844179041683674,0.005460595246404409
35,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 256, 'units layer 2': 2}",0.002308620372787118,0.005815849173814058
36,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 256, 'units layer 2': 4}",0.004818310495465994,0.008306832984089851
37,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 256, 'units layer 2': 8}",0.002808058401569724,0.005999116227030754
38,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 256, 'units layer 2': 16}",0.002083343453705311,0.005441708955913782
39,"{'desc_words': 5000, 'desc_len': 60, 'activation': 'sigmoid', 'units layer 1': 256, 'units layer 2': 32}",0.002335676457732916,0.005889411550015211
